,compass_degrees,compass_point,compass_right,compass_up,ct,sol
0,0.0,N,0.0,1.0,1588.0,708
1,22.5,NNE,0.382683432365,0.923879532511,1686.0,708
2,45.0,NE,0.707106781187,0.707106781187,1997.0,708
3,67.5,ENE,0.923879532511,0.382683432365,1511.0,708
4,112.5,ESE,0.923879532511,-0.382683432365,4022.0,708
5,135.0,SE,0.707106781187,-0.707106781187,910.0,708
6,157.5,SSE,0.382683432365,-0.923879532511,1646.0,708
7,180.0,S,0.0,-1.0,756.0,708
8,202.5,SSW,-0.382683432365,-0.923879532511,2247.0,708
9,225.0,SW,-0.707106781187,-0.707106781187,20685.0,708
10,247.5,WSW,-0.923879532511,-0.382683432365,4209.0,708
11,270.0,W,-1.0,0.0,35413.0,708
12,292.5,WNW,-0.923879532511,0.382683432365,6896.0,708
13,315.0,NW,-0.707106781187,0.707106781187,2155.0,708
14,337.5,NNW,-0.382683432365,0.923879532511,1005.0,708
